datadog_id,type,description
distsender.rpc.err.communicationerrtype.count,count,Number of CommunicationErrType errors received replica-bound RPCsThis counts how often error of the specified type was received back from replicasas part of executing possibly range-spanning requests. Failures to reach the targetreplica will be accounted for as ‘roachpb.CommunicationErrType’ and unclassifiederrors as ‘roachpb.InternalErrType’.
distsender.rpc.err.conditionfailederrtype.count,count,Number of ConditionFailedErrType errors received replica-bound RPCsThis counts how often error of the specified type was received back from replicasas part of executing possibly range-spanning requests. Failures to reach the targetreplica will be accounted for as ‘roachpb.CommunicationErrType’ and unclassifiederrors as ‘roachpb.InternalErrType’.
distsender.rpc.err.errordetailtype.count,count,Number of ErrorDetailType (tagged by their number) errors received replica-bound RPCsThis counts how often error of the specified type was received back from replicasas part of executing possibly range-spanning requests. Failures to reach the targetreplica will be accounted for as ‘roachpb.CommunicationErrType’ and unclassifiederrors as ‘roachpb.InternalErrType’.
distsender.rpc.err.indeterminatecommiterrtype.count,count,Number of IndeterminateCommitErrType errors received replica-bound RPCsThis counts how often error of the specified type was received back from replicasas part of executing possibly range-spanning requests. Failures to reach the targetreplica will be accounted for as ‘roachpb.CommunicationErrType’ and unclassifiederrors as ‘roachpb.InternalErrType’.
distsender.rpc.err.integeroverflowerrtype.count,count,Number of IntegerOverflowErrType errors received replica-bound RPCsThis counts how often error of the specified type was received back from replicasas part of executing possibly range-spanning requests. Failures to reach the targetreplica will be accounted for as ‘roachpb.CommunicationErrType’ and unclassifiederrors as ‘roachpb.InternalErrType’.
distsender.rpc.err.intentmissingerrtype.count,count,Number of IntentMissingErrType errors received replica-bound RPCsThis counts how often error of the specified type was received back from replicasas part of executing possibly range-spanning requests. Failures to reach the targetreplica will be accounted for as ‘roachpb.CommunicationErrType’ and unclassifiederrors as ‘roachpb.InternalErrType’.
distsender.rpc.err.internalerrtype.count,count,Number of InternalErrType errors received replica-bound RPCsThis counts how often error of the specified type was received back from replicasas part of executing possibly range-spanning requests. Failures to reach the targetreplica will be accounted for as ‘roachpb.CommunicationErrType’ and unclassifiederrors as ‘roachpb.InternalErrType’.
distsender.rpc.err.invalidleaseerrtype.count,count,Number of InvalidLeaseErrType errors received replica-bound RPCsThis counts how often error of the specified type was received back from replicasas part of executing possibly range-spanning requests. Failures to reach the targetreplica will be accounted for as ‘roachpb.CommunicationErrType’ and unclassifiederrors as ‘roachpb.InternalErrType’.
distsender.rpc.err.leaserejectederrtype.count,count,Number of LeaseRejectedErrType errors received replica-bound RPCsThis counts how often error of the specified type was received back from replicasas part of executing possibly range-spanning requests. Failures to reach the targetreplica will be accounted for as ‘roachpb.CommunicationErrType’ and unclassifiederrors as ‘roachpb.InternalErrType’.
distsender.rpc.err.lockconflicterrtype.count,count,Number of LockConflictErrType errors received replica-bound RPCsThis counts how often error of the specified type was received back from replicasas part of executing possibly range-spanning requests. Failures to reach the targetreplica will be accounted for as ‘roachpb.CommunicationErrType’ and unclassifiederrors as ‘roachpb.InternalErrType’.
distsender.rpc.err.mergeinprogresserrtype.count,count,Number of MergeInProgressErrType errors received replica-bound RPCsThis counts how often error of the specified type was received back from replicasas part of executing possibly range-spanning requests. Failures to reach the targetreplica will be accounted for as ‘roachpb.CommunicationErrType’ and unclassifiederrors as ‘roachpb.InternalErrType’.
distsender.rpc.err.mintimestampboundunsatisfiableerrtype.count,count,Number of MinTimestampBoundUnsatisfiableErrType errors received replica-bound RPCsThis counts how often error of the specified type was received back from replicasas part of executing possibly range-spanning requests. Failures to reach the targetreplica will be accounted for as ‘roachpb.CommunicationErrType’ and unclassifiederrors as ‘roachpb.InternalErrType’.
distsender.rpc.err.mvcchistorymutationerrtype.count,count,Number of MVCCHistoryMutationErrType errors received replica-bound RPCsThis counts how often error of the specified type was received back from replicasas part of executing possibly range-spanning requests. Failures to reach the targetreplica will be accounted for as ‘roachpb.CommunicationErrType’ and unclassifiederrors as ‘roachpb.InternalErrType’.
distsender.rpc.err.nodeunavailableerrtype.count,count,Number of NodeUnavailableErrType errors received replica-bound RPCsThis counts how often error of the specified type was received back from replicasas part of executing possibly range-spanning requests. Failures to reach the targetreplica will be accounted for as ‘roachpb.CommunicationErrType’ and unclassifiederrors as ‘roachpb.InternalErrType’.
distsender.rpc.err.notleaseholdererrtype.count,count,Number of NotLeaseHolderErrType errors received replica-bound RPCsThis counts how often error of the specified type was received back from replicasas part of executing possibly range-spanning requests. Failures to reach the targetreplica will be accounted for as ‘roachpb.CommunicationErrType’ and unclassifiederrors as ‘roachpb.InternalErrType’.
distsender.rpc.err.oprequirestxnerrtype.count,count,Number of OpRequiresTxnErrType errors received replica-bound RPCsThis counts how often error of the specified type was received back from replicasas part of executing possibly range-spanning requests. Failures to reach the targetreplica will be accounted for as ‘roachpb.CommunicationErrType’ and unclassifiederrors as ‘roachpb.InternalErrType’.
distsender.rpc.err.optimisticevalconflictserrtype.count,count,Number of OptimisticEvalConflictsErrType errors received replica-bound RPCsThis counts how often error of the specified type was received back from replicasas part of executing possibly range-spanning requests. Failures to reach the targetreplica will be accounted for as ‘roachpb.CommunicationErrType’ and unclassifiederrors as ‘roachpb.InternalErrType’.
distsender.rpc.err.raftgroupdeletederrtype.count,count,Number of RaftGroupDeletedErrType errors received replica-bound RPCsThis counts how often error of the specified type was received back from replicasas part of executing possibly range-spanning requests. Failures to reach the targetreplica will be accounted for as ‘roachpb.CommunicationErrType’ and unclassifiederrors as ‘roachpb.InternalErrType’.
distsender.rpc.err.rangefeedretryerrtype.count,count,Number of RangeFeedRetryErrType errors received replica-bound RPCsThis counts how often error of the specified type was received back from replicasas part of executing possibly range-spanning requests. Failures to reach the targetreplica will be accounted for as ‘roachpb.CommunicationErrType’ and unclassifiederrors as ‘roachpb.InternalErrType’.
distsender.rpc.err.rangekeymismatcherrtype.count,count,Number of RangeKeyMismatchErrType errors received replica-bound RPCsThis counts how often error of the specified type was received back from replicasas part of executing possibly range-spanning requests. Failures to reach the targetreplica will be accounted for as ‘roachpb.CommunicationErrType’ and unclassifiederrors as ‘roachpb.InternalErrType’.
distsender.rpc.err.rangenotfounderrtype.count,count,Number of RangeNotFoundErrType errors received replica-bound RPCsThis counts how often error of the specified type was received back from replicasas part of executing possibly range-spanning requests. Failures to reach the targetreplica will be accounted for as ‘roachpb.CommunicationErrType’ and unclassifiederrors as ‘roachpb.InternalErrType’.
distsender.rpc.err.readwithinuncertaintyintervalerrtype.count,count,Number of ReadWithinUncertaintyIntervalErrType errors received replica-bound RPCsThis counts how often error of the specified type was received back from replicasas part of executing possibly range-spanning requests. Failures to reach the targetreplica will be accounted for as ‘roachpb.CommunicationErrType’ and unclassifiederrors as ‘roachpb.InternalErrType’.
distsender.rpc.err.refreshfailederrtype.count,count,Number of RefreshFailedErrType errors received replica-bound RPCsThis counts how often error of the specified type was received back from replicasas part of executing possibly range-spanning requests. Failures to reach the targetreplica will be accounted for as ‘roachpb.CommunicationErrType’ and unclassifiederrors as ‘roachpb.InternalErrType’.
distsender.rpc.err.replicacorruptionerrtype.count,count,Number of ReplicaCorruptionErrType errors received replica-bound RPCsThis counts how often error of the specified type was received back from replicasas part of executing possibly range-spanning requests. Failures to reach the targetreplica will be accounted for as ‘roachpb.CommunicationErrType’ and unclassifiederrors as ‘roachpb.InternalErrType’.
distsender.rpc.err.replicatooolderrtype.count,count,Number of ReplicaTooOldErrType errors received replica-bound RPCsThis counts how often error of the specified type was received back from replicasas part of executing possibly range-spanning requests. Failures to reach the targetreplica will be accounted for as ‘roachpb.CommunicationErrType’ and unclassifiederrors as ‘roachpb.InternalErrType’.
distsender.rpc.err.storenotfounderrtype.count,count,Number of StoreNotFoundErrType errors received replica-bound RPCsThis counts how often error of the specified type was received back from replicasas part of executing possibly range-spanning requests. Failures to reach the targetreplica will be accounted for as ‘roachpb.CommunicationErrType’ and unclassifiederrors as ‘roachpb.InternalErrType’.
distsender.rpc.err.transactionabortederrtype.count,count,Number of TransactionAbortedErrType errors received replica-bound RPCsThis counts how often error of the specified type was received back from replicasas part of executing possibly range-spanning requests. Failures to reach the targetreplica will be accounted for as ‘roachpb.CommunicationErrType’ and unclassifiederrors as ‘roachpb.InternalErrType’.
distsender.rpc.err.transactionpusherrtype.count,count,Number of TransactionPushErrType errors received replica-bound RPCsThis counts how often error of the specified type was received back from replicasas part of executing possibly range-spanning requests. Failures to reach the targetreplica will be accounted for as ‘roachpb.CommunicationErrType’ and unclassifiederrors as ‘roachpb.InternalErrType’.
distsender.rpc.err.transactionretryerrtype.count,count,Number of TransactionRetryErrType errors received replica-bound RPCsThis counts how often error of the specified type was received back from replicasas part of executing possibly range-spanning requests. Failures to reach the targetreplica will be accounted for as ‘roachpb.CommunicationErrType’ and unclassifiederrors as ‘roachpb.InternalErrType’.
distsender.rpc.err.transactionretrywithprotorefresherrtype.count,count,Number of TransactionRetryWithProtoRefreshErrType errors received replica-bound RPCsThis counts how often error of the specified type was received back from replicasas part of executing possibly range-spanning requests. Failures to reach the targetreplica will be accounted for as ‘roachpb.CommunicationErrType’ and unclassifiederrors as ‘roachpb.InternalErrType’.
distsender.rpc.err.transactionstatuserrtype.count,count,Number of TransactionStatusErrType errors received replica-bound RPCsThis counts how often error of the specified type was received back from replicasas part of executing possibly range-spanning requests. Failures to reach the targetreplica will be accounted for as ‘roachpb.CommunicationErrType’ and unclassifiederrors as ‘roachpb.InternalErrType’.
distsender.rpc.err.txnalreadyencounterederrtype.count,count,Number of TxnAlreadyEncounteredErrType errors received replica-bound RPCsThis counts how often error of the specified type was received back from replicasas part of executing possibly range-spanning requests. Failures to reach the targetreplica will be accounted for as ‘roachpb.CommunicationErrType’ and unclassifiederrors as ‘roachpb.InternalErrType’.
distsender.rpc.err.unsupportedrequesterrtype.count,count,Number of UnsupportedRequestErrType errors received replica-bound RPCsThis counts how often error of the specified type was received back from replicasas part of executing possibly range-spanning requests. Failures to reach the targetreplica will be accounted for as ‘roachpb.CommunicationErrType’ and unclassifiederrors as ‘roachpb.InternalErrType’.
distsender.rpc.err.writeintenterrtype.count,count,Number of WriteIntentErrType errors received replica-bound RPCsThis counts how often error of the specified type was received back from replicasas part of executing possibly range-spanning requests. Failures to reach the targetreplica will be accounted for as ‘roachpb.CommunicationErrType’ and unclassifiederrors as ‘roachpb.InternalErrType’.
distsender.rpc.err.writetooolderrtype.count,count,Number of WriteTooOldErrType errors received replica-bound RPCsThis counts how often error of the specified type was received back from replicasas part of executing possibly range-spanning requests. Failures to reach the targetreplica will be accounted for as ‘roachpb.CommunicationErrType’ and unclassifiederrors as ‘roachpb.InternalErrType’.
distsender.rpc.export.sent.count,count,"Number of Export requests processed.This counts the requests in batches handed to DistSender, not the RPCssent to individual Ranges as a result."
distsender.rpc.gc.sent.count,count,"Number of GC requests processed.This counts the requests in batches handed to DistSender, not the RPCssent to individual Ranges as a result."
distsender.rpc.get.sent.count,count,"Number of Get requests processed.This counts the requests in batches handed to DistSender, not the RPCssent to individual Ranges as a result."
distsender.rpc.heartbeattxn.sent.count,count,"Number of HeartbeatTxn requests processed.This counts the requests in batches handed to DistSender, not the RPCssent to individual Ranges as a result."
distsender.rpc.increment.sent.count,count,"Number of Increment requests processed.This counts the requests in batches handed to DistSender, not the RPCssent to individual Ranges as a result."
distsender.rpc.initput.sent.count,count,"Number of InitPut requests processed.This counts the requests in batches handed to DistSender, not the RPCssent to individual Ranges as a result."
distsender.rpc.isspanempty.sent.count,count,"Number of IsSpanEmpty requests processed.This counts the requests in batches handed to DistSender, not the RPCssent to individual Ranges as a result."
distsender.rpc.leaseinfo.sent.count,count,"Number of LeaseInfo requests processed.This counts the requests in batches handed to DistSender, not the RPCssent to individual Ranges as a result."
distsender.rpc.merge.sent.count,count,"Number of Merge requests processed.This counts the requests in batches handed to DistSender, not the RPCssent to individual Ranges as a result."
distsender.rpc.migrate.sent.count,count,"Number of Migrate requests processed.This counts the requests in batches handed to DistSender, not the RPCssent to individual Ranges as a result."
distsender.rpc.probe.sent.count,count,"Number of Probe requests processed.This counts the requests in batches handed to DistSender, not the RPCssent to individual Ranges as a result."
distsender.rpc.pushtxn.sent.count,count,"Number of PushTxn requests processed.This counts the requests in batches handed to DistSender, not the RPCssent to individual Ranges as a result."
distsender.rpc.put.sent.count,count,"Number of Put requests processed.This counts the requests in batches handed to DistSender, not the RPCssent to individual Ranges as a result."
distsender.rpc.queryintent.sent.count,count,"Number of QueryIntent requests processed.This counts the requests in batches handed to DistSender, not the RPCssent to individual Ranges as a result."
distsender.rpc.querylocks.sent.count,count,"Number of QueryLocks requests processed.This counts the requests in batches handed to DistSender, not the RPCssent to individual Ranges as a result."
distsender.rpc.queryresolvedtimestamp.sent.count,count,"Number of QueryResolvedTimestamp requests processed.This counts the requests in batches handed to DistSender, not the RPCssent to individual Ranges as a result."
distsender.rpc.querytxn.sent.count,count,"Number of QueryTxn requests processed.This counts the requests in batches handed to DistSender, not the RPCssent to individual Ranges as a result."
distsender.rpc.rangestats.sent.count,count,"Number of RangeStats requests processed.This counts the requests in batches handed to DistSender, not the RPCssent to individual Ranges as a result."
distsender.rpc.recomputestats.sent.count,count,"Number of RecomputeStats requests processed.This counts the requests in batches handed to DistSender, not the RPCssent to individual Ranges as a result."
distsender.rpc.recovertxn.sent.count,count,"Number of RecoverTxn requests processed.This counts the requests in batches handed to DistSender, not the RPCssent to individual Ranges as a result."
distsender.rpc.refresh.sent.count,count,"Number of Refresh requests processed.This counts the requests in batches handed to DistSender, not the RPCssent to individual Ranges as a result."
distsender.rpc.refreshrange.sent.count,count,"Number of RefreshRange requests processed.This counts the requests in batches handed to DistSender, not the RPCssent to individual Ranges as a result."
distsender.rpc.requestlease.sent.count,count,"Number of RequestLease requests processed.This counts the requests in batches handed to DistSender, not the RPCssent to individual Ranges as a result."
distsender.rpc.resolveintent.sent.count,count,"Number of ResolveIntent requests processed.This counts the requests in batches handed to DistSender, not the RPCssent to individual Ranges as a result."
distsender.rpc.resolveintentrange.sent.count,count,"Number of ResolveIntentRange requests processed.This counts the requests in batches handed to DistSender, not the RPCssent to individual Ranges as a result."
distsender.rpc.reversescan.sent.count,count,"Number of ReverseScan requests processed.This counts the requests in batches handed to DistSender, not the RPCssent to individual Ranges as a result."
distsender.rpc.revertrange.sent.count,count,"Number of RevertRange requests processed.This counts the requests in batches handed to DistSender, not the RPCssent to individual Ranges as a result."
distsender.rpc.scan.sent.count,count,"Number of Scan requests processed.This counts the requests in batches handed to DistSender, not the RPCssent to individual Ranges as a result."
distsender.rpc.sent.count,count,Number of replica-addressed RPCs sent
distsender.rpc.sent.local,count,[OpenMetrics v1] Number of local RPCs sent
distsender.rpc.sent.local.count,count,[OpenMetrics v2] Number of local RPCs sent
distsender.rpc.sent.nextreplicaerror,count,"[OpenMetrics v1] Number of RPCs sent due to per-replica errors
Shown as error"
distsender.rpc.sent.nextreplicaerror.count,count,"[OpenMetrics v2] Number of RPCs sent due to per-replica errors
Shown as error"
distsender.rpc.sent.total,count,[OpenMetrics v1] Number of RPCs sent
distsender.rpc.sent.total.count,count,[OpenMetrics v2] Number of replica-addressed RPCs sent
distsender.rpc.subsume.sent.count,count,"Number of Subsume requests processed.This counts the requests in batches handed to DistSender, not the RPCssent to individual Ranges as a result."
distsender.rpc.transferlease.sent.count,count,"Number of TransferLease requests processed.This counts the requests in batches handed to DistSender, not the RPCssent to individual Ranges as a result."
distsender.rpc.truncatelog.sent.count,count,"Number of TruncateLog requests processed.This counts the requests in batches handed to DistSender, not the RPCssent to individual Ranges as a result."
distsender.rpc.writebatch.sent.count,count,"Number of WriteBatch requests processed.This counts the requests in batches handed to DistSender, not the RPCssent to individual Ranges as a result."
exec.error,count,"[OpenMetrics v1] Number of batch KV requests that failed to execute on this node. These are warnings denoting cleanup rather than errors, and can be disregarded as part of operation.
Shown as request"
exec.error.count,count,"[OpenMetrics v2] Number of batch KV requests that failed to execute on this node. These are warnings denoting cleanup rather than errors, and can be disregarded as part of operation.
Shown as request"
exec.latency,gauge,"[OpenMetrics v1] Latency in nanoseconds of batch KV requests executed on this node
Shown as nanosecond"
exec.latency.bucket,count,"[OpenMetrics v2] Latency in nanoseconds of batch KV requests executed on this node
Shown as nanosecond"
exec.latency.count,count,"[OpenMetrics v2] Latency in nanoseconds of batch KV requests executed on this node
Shown as nanosecond"
exec.latency.sum,count,"[OpenMetrics v2] Latency in nanoseconds of batch KV requests executed on this node
Shown as nanosecond"
exec.success,count,"[OpenMetrics v1] Number of batch KV requests executed successfully on this node
Shown as request"
exec.success.count,count,"[OpenMetrics v2] Number of batch KV requests executed successfully on this node
Shown as request"
exportrequest.delay.count,count,Number of Export requests delayed due to concurrent requests.
follower_reads.success_count.count,count,Number of successful follower reads
gcbytesage,gauge,"[OpenMetrics v1 & v2] Cumulative age of non-live data in seconds
Shown as second"
gossip.bytes.received,count,"[OpenMetrics v1] Number of received gossip bytes
Shown as byte"
gossip.bytes.received.count,count,"[OpenMetrics v2] Number of received gossip bytes
Shown as byte"
gossip.bytes.sent,count,"[OpenMetrics v1] Number of sent gossip bytes
Shown as byte"
gossip.bytes.sent.count,count,"[OpenMetrics v2] Number of sent gossip bytes
Shown as byte"
gossip.connections.incoming,gauge,"[OpenMetrics v1 & v2] Number of active incoming gossip connections
Shown as connection"
gossip.connections.outgoing,gauge,"[OpenMetrics v1 & v2] Number of active outgoing gossip connections
Shown as connection"
gossip.connections.refused,count,"[OpenMetrics v1] Number of refused incoming gossip connections
Shown as connection"
gossip.connections.refused.count,count,"[OpenMetrics v2] Number of refused incoming gossip connections
Shown as connection"
gossip.infos.received,count,[OpenMetrics v1] Number of received gossip Info objects
gossip.infos.received.count,count,[OpenMetrics v2] Number of received gossip Info objects
gossip.infos.sent,count,[OpenMetrics v1] Number of sent gossip Info objects
gossip.infos.sent.count,count,[OpenMetrics v2] Number of sent gossip Info objects
intentage,gauge,"[OpenMetrics v1 & v2] Cumulative age of intents in seconds
Shown as second"
intentbytes,gauge,"[OpenMetrics v1 & v2] Number of bytes in intent KV pairs
Shown as byte"
intentcount,gauge,"[OpenMetrics v1 & v2] Count of intent keys
Shown as key"
intentresolver.async.throttled,count,Number of intent resolution attempts not run asynchronously due to throttling
intentresolver.async.throttled.count,count,Number of intent resolution attempts not run asynchronously due to throttling
intentresolver.finalized_txns.failed,count,Number of finalized transaction cleanup failures. Transaction cleanup refers to the process of resolving all of a transactions intents and then garbage collecting its transaction record.
intentresolver.finalized_txns.failed.count,count,Number of finalized transaction cleanup failures. Transaction cleanup refers to the process of resolving all of a transactions intents and then garbage collecting its transaction record.
intentresolver.intents.failed,count,"Number of intent resolution failures. The unit of measurement is a single intent, so if a batch of intent resolution requests fails, the metric will be incremented for each request in the batch."
intentresolver.intents.failed.count,count,"Number of intent resolution failures. The unit of measurement is a single intent, so if a batch of intent resolution requests fails, the metric will be incremented for each request in the batch."
intents.abort_attempts,count,Count of (point or range) non-poisoning intent abort evaluation attempts
intents.abort_attempts.count,count,Count of (point or range) non-poisoning intent abort evaluation attempts
intents.poison_attempts,count,Count of (point or range) poisoning intent abort evaluation attempts
intents.poison_attempts.count,count,Count of (point or range) poisoning intent abort evaluation attempts
intents.resolve_attempts,count,Count of (point or range) intent commit evaluation attempts
intents.resolve_attempts.count,count,Count of (point or range) intent commit evaluation attempts
jobs.adopt_iterations.count,count,number of job-adopt iterations performed by the registry
jobs.auto.create.stats.currently_paused,gauge,Number of auto_create_stats jobs currently considered Paused
jobs.auto.create.stats.currently_running,gauge,Number of auto_create_stats jobs currently running in Resume or OnFailOrCancel state
jobs.auto.create.stats.resume_failed.count,count,Number of auto_create_stats jobs which failed with a non-retriable error
jobs.auto_config_env_runner.currently_idle,gauge,Number of auto_config_env_runner jobs currently considered Idle and can be freely shut down
jobs.auto_config_env_runner.currently_paused,gauge,Number of auto_config_env_runner jobs currently considered Paused
jobs.auto_config_env_runner.currently_running,gauge,Number of auto_config_env_runner jobs currently running in Resume or OnFailOrCancel state
jobs.auto_config_env_runner.expired_pts_records.count,count,Number of expired protected timestamp records owned by auto_config_env_runner jobs
jobs.auto_config_env_runner.fail_or_cancel_completed.count,count,Number of auto_config_env_runner jobs which successfully completed their failure or cancelation process
jobs.auto_config_env_runner.fail_or_cancel_failed.count,count,Number of auto_config_env_runner jobs which failed with a non-retriable error on their failure or cancelation process
jobs.auto_config_env_runner.fail_or_cancel_retry_error.count,count,Number of auto_config_env_runner jobs which failed with a retriable error on their failure or cancelation process
jobs.auto_config_env_runner.protected_age_sec,gauge,"The age of the oldest PTS record protected by auto_config_env_runner jobs
Shown as second"
jobs.auto_config_env_runner.protected_record_count,gauge,Number of protected timestamp records held by auto_config_env_runner jobs
jobs.auto_config_env_runner.resume_completed.count,count,Number of auto_config_env_runner jobs which successfully resumed to completion
jobs.auto_config_env_runner.resume_failed.count,count,Number of auto_config_env_runner jobs which failed with a non-retriable error
jobs.auto_config_env_runner.resume_retry_error.count,count,Number of auto_config_env_runner jobs which failed with a retriable error
jobs.auto_config_runner.currently_idle,gauge,Number of auto_config_runner jobs currently considered Idle and can be freely shut down
jobs.auto_config_runner.currently_paused,gauge,Number of auto_config_runner jobs currently considered Paused
jobs.auto_config_runner.currently_running,gauge,Number of auto_config_runner jobs currently running in Resume or OnFailOrCancel state
jobs.auto_config_runner.expired_pts_records.count,count,Number of expired protected timestamp records owned by auto_config_runner jobs
jobs.auto_config_runner.fail_or_cancel_completed.count,count,Number of auto_config_runner jobs which successfully completed their failure or cancelation process
jobs.auto_config_runner.fail_or_cancel_failed.count,count,Number of auto_config_runner jobs which failed with a non-retriable error on their failure or cancelation process
jobs.auto_config_runner.fail_or_cancel_retry_error.count,count,Number of auto_config_runner jobs which failed with a retriable error on their failure or cancelation process
jobs.auto_config_runner.protected_age_sec,gauge,"The age of the oldest PTS record protected by auto_config_runner jobs
Shown as second"
jobs.auto_config_runner.protected_record_count,gauge,Number of protected timestamp records held by auto_config_runner jobs
jobs.auto_config_runner.resume_completed.count,count,Number of auto_config_runner jobs which successfully resumed to completion
jobs.auto_config_runner.resume_failed.count,count,Number of auto_config_runner jobs which failed with a non-retriable error
jobs.auto_config_runner.resume_retry_error.count,count,Number of auto_config_runner jobs which failed with a retriable error
jobs.auto_config_task.currently_idle,gauge,Number of auto_config_task jobs currently considered Idle and can be freely shut down
jobs.auto_config_task.currently_paused,gauge,Number of auto_config_task jobs currently considered Paused
jobs.auto_config_task.currently_running,gauge,Number of auto_config_task jobs currently running in Resume or OnFailOrCancel state
jobs.auto_config_task.expired_pts_records.count,count,Number of expired protected timestamp records owned by auto_config_task jobs
jobs.auto_config_task.fail_or_cancel_completed.count,count,Number of auto_config_task jobs which successfully completed their failure or cancelation process
jobs.auto_config_task.fail_or_cancel_failed.count,count,Number of auto_config_task jobs which failed with a non-retriable error on their failure or cancelation process
jobs.auto_config_task.fail_or_cancel_retry_error.count,count,Number of auto_config_task jobs which failed with a retriable error on their failure or cancelation process
jobs.auto_config_task.protected_age_sec,gauge,"The age of the oldest PTS record protected by auto_config_task jobs
Shown as second"
jobs.auto_config_task.protected_record_count,gauge,Number of protected timestamp records held by auto_config_task jobs
jobs.auto_config_task.resume_completed.count,count,Number of auto_config_task jobs which successfully resumed to completion
jobs.auto_config_task.resume_failed.count,count,Number of auto_config_task jobs which failed with a non-retriable error
jobs.auto_config_task.resume_retry_error.count,count,Number of auto_config_task jobs which failed with a retriable error
jobs.auto_create_stats.currently_idle,gauge,Number of auto_create_stats jobs currently considered Idle and can be freely shut down
jobs.auto_create_stats.currently_paused,gauge,Number of auto_create_stats jobs currently considered Paused
jobs.auto_create_stats.currently_running,gauge,Number of auto_create_stats jobs currently running in Resume or OnFailOrCancel state
jobs.auto_create_stats.expired_pts_records.count,count,Number of expired protected timestamp records owned by auto_create_stats jobs
jobs.auto_create_stats.fail_or_cancel_completed.count,count,Number of auto_create_stats jobs which successfully completed their failure or cancelation process
jobs.auto_create_stats.fail_or_cancel_failed.count,count,Number of auto_create_stats jobs which failed with a non-retriable error on their failure or cancelation process
jobs.auto_create_stats.fail_or_cancel_retry_error.count,count,Number of auto_create_stats jobs which failed with a retriable error on their failure or cancelation process
jobs.auto_create_stats.protected_age_sec,gauge,"The age of the oldest PTS record protected by auto_create_stats jobs
Shown as second"
jobs.auto_create_stats.protected_record_count,gauge,Number of protected timestamp records held by auto_create_stats jobs
jobs.auto_create_stats.resume_completed.count,count,Number of auto_create_stats jobs which successfully resumed to completion
jobs.auto_create_stats.resume_failed.count,count,Number of auto_create_stats jobs which failed with a non-retriable error
jobs.auto_create_stats.resume_retry_error.count,count,Number of auto_create_stats jobs which failed with a retriable error
jobs.auto_schema_telemetry.currently_idle,gauge,Number of auto_schema_telemetry jobs currently considered Idle and can be freely shut down
jobs.auto_schema_telemetry.currently_paused,gauge,Number of auto_schema_telemetry jobs currently considered Paused
jobs.auto_schema_telemetry.currently_running,gauge,Number of auto_schema_telemetry jobs currently running in Resume or OnFailOrCancel state
jobs.auto_schema_telemetry.expired_pts_records.count,count,Number of expired protected timestamp records owned by auto_schema_telemetry jobs
jobs.auto_schema_telemetry.fail_or_cancel_completed.count,count,Number of auto_schema_telemetry jobs which successfully completed their failure or cancelation process
jobs.auto_schema_telemetry.fail_or_cancel_failed.count,count,Number of auto_schema_telemetry jobs which failed with a non-retriable error on their failure or cancelation process
jobs.auto_schema_telemetry.fail_or_cancel_retry_error.count,count,Number of auto_schema_telemetry jobs which failed with a retriable error on their failure or cancelation process
jobs.auto_schema_telemetry.protected_age_sec,gauge,"The age of the oldest PTS record protected by auto_schema_telemetry jobs
Shown as second"
jobs.auto_schema_telemetry.protected_record_count,gauge,Number of protected timestamp records held by auto_schema_telemetry jobs
jobs.auto_schema_telemetry.resume_completed.count,count,Number of auto_schema_telemetry jobs which successfully resumed to completion
jobs.auto_schema_telemetry.resume_failed.count,count,Number of auto_schema_telemetry jobs which failed with a non-retriable error
jobs.auto_schema_telemetry.resume_retry_error.count,count,Number of auto_schema_telemetry jobs which failed with a retriable error
jobs.auto_span_config_reconciliation.currently_idle,gauge,Number of auto_span_config_reconciliation jobs currently considered Idle and can be freely shut down
jobs.auto_span_config_reconciliation.currently_paused,gauge,Number of auto_span_config_reconciliation jobs currently considered Paused
jobs.auto_span_config_reconciliation.currently_running,gauge,Number of auto_span_config_reconciliation jobs currently running in Resume or OnFailOrCancel state
jobs.auto_span_config_reconciliation.expired_pts_records.count,count,Number of expired protected timestamp records owned by auto_span_config_reconciliation jobs
jobs.auto_span_config_reconciliation.fail_or_cancel_completed.count,count,Number of auto_span_config_reconciliation jobs which successfully completed their failure or cancelation process
jobs.auto_span_config_reconciliation.fail_or_cancel_failed.count,count,Number of auto_span_config_reconciliation jobs which failed with a non-retriable error on their failure or cancelation process
jobs.auto_span_config_reconciliation.fail_or_cancel_retry_error.count,count,Number of auto_span_config_reconciliation jobs which failed with a retriable error on their failure or cancelation process
jobs.auto_span_config_reconciliation.protected_age_sec,gauge,"The age of the oldest PTS record protected by auto_span_config_reconciliation jobs
Shown as second"
jobs.auto_span_config_reconciliation.protected_record_count,gauge,Number of protected timestamp records held by auto_span_config_reconciliation jobs
jobs.auto_span_config_reconciliation.resume_completed.count,count,Number of auto_span_config_reconciliation jobs which successfully resumed to completion
jobs.auto_span_config_reconciliation.resume_failed.count,count,Number of auto_span_config_reconciliation jobs which failed with a non-retriable error
jobs.auto_span_config_reconciliation.resume_retry_error.count,count,Number of auto_span_config_reconciliation jobs which failed with a retriable error
jobs.auto_sql_stats_compaction.currently_idle,gauge,Number of auto_sql_stats_compaction jobs currently considered Idle and can be freely shut down
jobs.auto_sql_stats_compaction.currently_paused,gauge,Number of auto_sql_stats_compaction jobs currently considered Paused
